City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,whitehorse,60.7161,-135.0538,3.43,87,100,7.72,CA,1706545203
1,talnakh,69.4865,88.3972,-14.33,90,100,3.93,RU,1706545235
2,cabo san lucas,22.8909,-109.9124,25.98,51,40,1.03,MX,1706545177
3,sarkand,45.41,79.9186,-7.69,84,100,2.0,KZ,1706545236
4,invercargill,-46.4,168.35,13.34,88,90,1.8,NZ,1706544966
5,adamstown,-25.066,-130.1015,24.36,78,100,4.51,PN,1706545236
6,iqaluit,63.7506,-68.5145,-31.84,60,100,0.0,CA,1706545237
7,stanley,54.868,-1.6985,5.77,93,100,6.25,GB,1706545237
8,waitangi,-43.9535,-176.5597,16.01,98,85,0.89,NZ,1706545237
9,nejo,9.5,35.5,19.66,40,100,1.33,ET,1706545238
10,badger,64.8,-147.5333,-31.07,64,100,0.0,US,1706545238
11,kerikeri,-35.2268,173.9474,17.73,89,2,0.45,NZ,1706545238
12,margaret river,-33.95,115.0667,13.81,83,0,4.75,AU,1706545239
13,bilibino,68.0546,166.4372,-36.1,99,88,0.62,RU,1706545239
14,port-aux-francais,-49.35,70.2167,4.26,73,77,16.79,TF,1706545239
15,ciudad lazaro cardenas,17.9583,-102.2,27.17,65,100,0.88,MX,1706544986
16,avarua,-21.2078,-159.775,27.03,94,75,2.06,CK,1706545240
17,hithadhoo,-0.6,73.0833,28.0,72,39,3.66,MV,1706545240
18,blackmans bay,-43.0167,147.3167,10.29,77,1,2.03,AU,1706545240
19,olonkinbyen,70.9221,-8.7187,-5.25,65,100,7.66,SJ,1706545241
20,humaita,-7.5061,-63.0208,32.82,54,67,1.76,BR,1706545241
21,bethel,41.3712,-73.414,3.88,76,100,7.2,US,1706545116
22,yellowknife,62.456,-114.3525,-10.71,92,75,3.6,CA,1706545241
23,solnechnyy,50.7214,136.6319,-21.65,97,100,1.29,RU,1706545241
24,san antonio de pale,-1.4014,5.6325,28.22,78,54,4.93,GQ,1706545242
25,roznov pod radhostem,49.4585,18.143,3.36,79,3,2.3,CZ,1706545242
26,hawaiian paradise park,19.5933,-154.9731,22.24,89,20,2.06,US,1706545242
27,thompson,55.7435,-97.8558,-4.91,93,100,3.6,CA,1706545243
28,wailua homesteads,22.0669,-159.378,22.44,90,100,7.2,US,1706545243
29,floro,61.5996,5.0328,5.98,87,40,4.63,NO,1706545243
30,ilulissat,69.2167,-51.1,-23.99,64,40,0.0,GL,1706545243
31,vorkuta,67.5,64.0,-16.69,95,80,3.68,RU,1706545243
32,kupang,-10.1667,123.5833,26.32,100,95,1.03,ID,1706545244
33,port mathurin,-19.6833,63.4167,27.98,81,94,8.72,MU,1706545244
34,luganville,-15.5333,167.1667,26.26,83,100,2.02,VU,1706545244
35,keflavik,64.0049,-22.5624,1.24,80,75,19.03,IS,1706545244
36,aasiaat,68.7098,-52.8699,-29.72,97,100,1.95,GL,1706545244
37,tokar,18.4254,37.729,23.6,57,91,4.72,SD,1706545245
38,ribeira grande,38.5167,-28.7,18.22,82,20,7.72,PT,1706545245
39,bikenibeu village,1.3673,173.1241,26.98,83,75,2.57,KI,1706545245
40,port blair,11.6667,92.75,23.02,94,75,1.54,IN,1706545245
41,poli,-3.3333,36.8,20.75,68,97,0.14,TZ,1706545246
42,edinburgh of the seven seas,-37.0676,-12.3116,17.67,88,53,10.51,SH,1706545246
43,bamboo flat,11.7,92.7167,23.05,94,75,1.54,IN,1706545246
44,aldinga beach,-35.2793,138.4604,18.57,86,27,4.38,AU,1706545246
45,derbent,42.0678,48.2899,2.65,73,99,4.64,RU,1706545234
46,albany,42.6001,-73.9662,1.0,82,100,4.05,US,1706545247
47,arendal,58.4615,8.7725,2.89,91,100,2.5,NO,1706544957
48,masterton,-40.9597,175.6575,15.06,88,92,2.09,NZ,1706545247
49,vadso,70.0744,29.7487,3.49,70,64,20.06,NO,1706545247
50,aykhal,66.0,111.5,-20.2,100,100,1.33,RU,1706545247
51,kandi,11.1342,2.9386,34.81,10,50,2.12,BJ,1706545247
52,ushuaia,-54.8,-68.3,13.79,62,75,10.8,AR,1706545247
53,bam,29.106,58.357,13.37,28,100,2.2,IR,1706545247
54,hamilton,39.1834,-84.5333,2.1,88,100,3.6,US,1706545162
55,feijo,-8.1642,-70.3536,27.22,76,98,1.56,BR,1706545248
56,flying fish cove,-10.4217,105.6791,23.82,94,75,2.57,CX,1706545248
57,grytviken,-54.2811,-36.5092,8.37,48,53,5.0,GS,1706545248
58,laojunmiao,39.8333,97.7333,-6.4,40,13,1.99,CN,1706545248
59,mosjoen,65.836,13.1908,6.29,52,75,5.14,NO,1706545248
60,sandnessjoen,66.0217,12.6316,6.29,65,75,11.83,NO,1706545248
61,puerto baquerizo moreno,-0.9,-89.6,27.55,89,100,7.2,EC,1706545249
62,nieuw amsterdam,5.8833,-55.0833,30.09,89,40,2.06,SR,1706545249
63,woolgoolga,-30.1106,153.2007,25.02,88,99,2.67,AU,1706545249
64,el nido,11.1858,119.3956,26.29,73,97,10.07,PH,1706545249
65,kingston,17.997,-76.7936,29.58,61,20,3.09,JM,1706545249
66,loen,7.7601,168.2307,26.73,75,100,6.66,MH,1706545249
67,fort bragg,35.139,-79.006,12.08,48,0,6.17,US,1706545249
68,panguma,8.1833,-11.1333,36.27,18,74,1.11,SL,1706545040
69,puerto natales,-51.7236,-72.4875,18.25,48,75,9.26,CL,1706545250
70,aswan,24.0934,32.907,18.31,29,9,4.63,EG,1706545250
71,baise city,23.8997,106.6133,13.52,99,97,0.95,CN,1706545250
72,sur,22.5667,59.5289,24.24,71,70,0.09,OM,1706545250
73,wewak,-3.5534,143.6268,25.18,90,100,1.85,PG,1706545250
74,gorontalo,0.5412,123.0595,24.14,96,38,1.68,ID,1706545250
75,sitka,57.0531,-135.33,8.94,81,100,7.2,US,1706545250
76,swan hill,-35.3378,143.5544,20.97,61,0,4.89,AU,1706545250
77,apiai,-24.5094,-48.8425,24.93,45,45,1.55,BR,1706545251
78,saurimo,-9.6608,20.3916,23.33,80,98,1.62,AO,1706545251
79,souillac,-20.5167,57.5167,27.21,94,75,3.6,MU,1706545251
80,ust-nera,64.5667,143.2,-39.35,98,74,1.96,RU,1706545251
81,boali,4.8005,18.1275,36.2,13,42,2.08,CF,1706545251
82,matamba,-8.9833,33.9667,15.75,97,99,0.77,TZ,1706545251
83,okhotsk,59.3833,143.3,-25.56,80,7,3.78,RU,1706545251
84,gourin,48.1387,-3.6076,13.57,82,79,5.04,FR,1706545251
85,usinsk,65.9939,57.5281,-12.18,94,93,8.05,RU,1706545252
86,kargasok,59.0556,80.8572,-16.69,96,92,4.02,RU,1706545252
87,oyama,36.3,139.8,8.66,53,40,1.38,JP,1706545252
88,yuzhno-kurilsk,44.0306,145.8556,-2.57,83,18,1.38,RU,1706545252
89,coracora,-15.0333,-73.7833,17.47,55,85,3.7,PE,1706545252
90,nuku'alofa,-21.1333,-175.2,23.19,94,75,1.03,TO,1706545252
91,bardai,11.65,7.2333,29.72,10,4,5.49,NG,1706545252
92,isafjordur,66.0755,-23.124,-1.98,93,100,1.54,IS,1706545253
